tweets_text,type
@delenasdictator Paul makes gay rape jokes all the time. He jokes about rapin Ian. Just recently at a con he joked about having Ian facedown,gender
Arabs and muslims do not supporting you don’t believe idiot people,religion
"Isn't this a trope in, like, every teen movie, ever? Self-centred minor male character with inflated ego doesn't get the reaction he wants from strong female one, so he calls her a bitch as he walks away?",gender
@dumb_goth fuck you nigger blocked,ethnicityandrace
nigga i'm laying down tryna sleep get to bed dumb nigger fuck god damn you tweet like a straight hood nigger,ethnicityandrace
"Like that’s the part that confuses me. In what world is that ok at work?!? Athough, a female coworker did call me a bitch in an email and we had it out in the office once.",gender
I'll believe #feminism wants #equality when they start demanding death for #JodiArias but...I won't hold my breath... http://t.co/B108OAG7DO,gender
24. Martin Freeman -constant racism -hates poor ppl -makes islamaphobic jokes -complains abt gay ppl -makes rape jokes,gender
It's pathetic really. An adult that thinks that he can convince us he was a muslim once by putting on a blindfold and recite a few lines? He watched a few too many magicshows and started believing the magic was in the blindfold! Congrats you just proved you're an idiot!!,religion
@Dumb_Wavey I'm getting swole hitting that gym dnt fuck wit me nigger,ethnicityandrace
"I Agree (my Mom does). Mom remembers being a kid. She didnâ€™t like â€œsharingâ€ at school. Talking about feelings among a whole group of new [sometimes mean] kids was never an exciting idea. Do your jobs teachers. Teach. Also, Mom thinks todayâ€™s anti-bullies are often bullies.",age
@PoliticalAnt @Lithobolos @ZaibatsuNews The prophet Mohammed declared war on all non Muslims 1400 years ago exactly to impose such.,religion
"@IlhanMN do you know what privilege is? How about your Muslim PRIVILEGE. LET'S MAKE A LIST, SHALL WE? 1. YOU ARE IN CONGRESS. HOW? DON'T KNOW. BUT FRAUD DOES COME TO MIND? 2. THE IDIOTS IN CONGRESS CHANGED THE RULES *JUST FOR YOU* SO YOU CAN PRANCE AROUND",religion
"My GPA is 3.97, i was a second-in-command for student council, and was one of the leaders in our debate club... Now that im leaving my school the reception lady saw my papers and said that we must talk to the vice principal for not giving me a diploma of academic excellence",age
I read trump's nieces book I understand why Trump is the way he is. He was a DICKadefied bully when he was a boy he was sent off to school BECAUSE they couldn't. control him from his bullying ways.Trump is just like his father a cheat and liar AND no compassion and has to WIN,age
you're right. We already have enough idiots in the Muslim world.,religion
"No problem with sexism and have mates who are gay! Never been violated, rape is a word that should not be used as a joke with consequences",gender
I bet you the school bully beat you up daily and took your dimner money off you...,age
I don't hate @dianeabbott_mp because shes a dumb lefty no i hate her because shes a fat ugly cow who fucks niggers.,ethnicityandrace
"No,The Quran says that any one who has killed an innocent human being has killed the entire religion .So the ISIS terrorists would be put to hell fire .....",religion
 @BillyGardell Bruh give me my memorization skills back for I beat yo pussy azz up ! I feel dumb you Nigger ... I don't fuck with you so ... so why did you do botch up my remembering skills,ethnicityandrace
My kitchen rules or my vagina rules? #MKR http://t.co/CXXgcf1MHl,gender
Cunt...did you just say my being gay was a “life decision”??? Are you kidding!? ...Inreally want to be extremely insensitive right now...but I’m trying to be a good Christian woman! #gay #youreatwat,religion
Dumb ass white people quick to call black people a nigger like that mean something.... fuck that mean to me...,ethnicityandrace
