tweets_text,type
Watching gaters confuse @ggautoblocker and @theblockbot while screetching at @popehat. just another morning. &lt;3,notcyberbullying
"@Xanthe_Cat nice to know I made him mad, then 😜",notcyberbullying
Just hopped on the struggle bus. Gonna be a long day #collegelife,notcyberbullying
Aw there's nothing to cry about Lynn xx #MKR,notcyberbullying
They are literally going thru a laundry list of actresses and heavily critiquing every one.,notcyberbullying
Give me all the things I need that money cant buy,notcyberbullying
The would-be politician is weak and craves power so that he may impose his will on the people that bullied him at school. -Jeremy Clarkson,notcyberbullying
"Check out Blood and Lace. ""@AwesomeBMovies_: Wes Craven named Freddy Krueger after a boy who bullied him in school. #FilmFacts #Horror""",notcyberbullying
@keywordmkt is daily begging for likes something you think of as classy &amp; professional?,notcyberbullying
RT @shanley: We have been IGNORING this because it was happening to the most marginalized users of our software and tools.,notcyberbullying
@cheeseplus I'm weird - I like Cherry MX Reds.,notcyberbullying
"RT @PatriceChienne: pretty: adjective 1.) attractive in a delicate way without being truly beautiful.""a pretty little girl with an engaging…",notcyberbullying
Oh Kat &amp; André when will you learn that you shouldn't go mouthing off and acting smug like you do! Biggest idiots this year. #mkr,notcyberbullying
AAAAAAAAAAAAAAAAAAAAAAH @fabiodiz VOOOLTA D: ISSO É BULLYING COM VOCÊÊ U-U  FabioeRenannoRaulGil,notcyberbullying
"Please, please, please can Annie and Cat feature in an episode of Naked &amp;Afraid where they r stranded on an island together? #mkr",notcyberbullying
Reminder: A bully always hurts someone weaker than himself. He will never go after someone he isn't sure he can overwhelm physically.,notcyberbullying
Kat and Andre are now more hated than Adam and Carol. #mkr,notcyberbullying
Frio é bullying contra os solteiros. http://t.co/oogk4Hf,notcyberbullying
Kat and Andre are the worst #MKR,notcyberbullying
This school has their own wifi 😵😁 that's amazing!!!,notcyberbullying
Today my class was closed for xmas vecatiön. Wish u a hppy xms and new year..,notcyberbullying
@TakeAStand2Day,notcyberbullying
Aussie #mkr judges need to be Aussies I'm sorry ... &amp; ones who know how to comb their hair &amp; look presentable... AUSSIE contestants too pls!,notcyberbullying
@harper @korvys it's also a license I know well. I agree with the philosophy behind it.,notcyberbullying
"Oh, no. Please don't sue me. I'm shaking in my bright pink UA sneakers. https://t.co/zn5tktwG7P",notcyberbullying
"I'm not at GDC today, but I'll be there tomorrow. ;D",notcyberbullying
"You may not like me, but you don't have to be do rude to me in school. I do nothing to you and you always have to make a comment. #smh",notcyberbullying
The amount of kind words and support we've received from all of you has been immense. Thank you all so very much.,notcyberbullying
It's hard being around people who aren't actively trying to fight their own oppressive behaviors. Find your people to keep you calm.,notcyberbullying
"Kind of love that the command ""go potty"" makes leo poop on command.",notcyberbullying
Managed to charm my way into mother filing my college papers!,notcyberbullying
What a relief! They're lucky they realised their mistake! #MKR,notcyberbullying
@ncoghlan_dev @srhbutts I hate cats.,notcyberbullying
Bully Mazzz,notcyberbullying
Darn this guy eating his freaking sandwich on the train. Now I want a sandwich.,notcyberbullying
#MKR Three pancakes - calm the farm. Feed them one pancake each.,notcyberbullying
"@_DirtyTruths Of the three papers that he references, I have so far only been able to locate the third.",notcyberbullying
RT @EzidiPress: [1] Today [24 February] in Mosul: Smoke over many parts of the city by coalition airstrikes. The camp of al-Zarqawi http://…,notcyberbullying
I'm really sorry! Do you have a suggestion for a rephrase? @ThelmaSleaze Cissexism alert... :(,notcyberbullying
RT @TopNewsA1: Synagogue Shooting Victim Dies; Copenhagen on Edge http://t.co/eNdRw2kUmk,notcyberbullying
@buttercupashby @MaDaSaHaTtEr_17 Obviously you are a student who has been fed all the delusions that are required to suck in fools.,notcyberbullying
@gavinatkinson @karinjiri @devinteske i miss sysinstall. :(,notcyberbullying
@Zendaya96 Hi :) I'm trying to get celebrities to follow my STOP bullying twitter will you follow me @BIWSSIN and spread the word :)6,notcyberbullying
"Are you listening?  Especially when children are being bullied and harrassed at school, a sympathetic ear is so... http://fb.me/1a5Bo185z",notcyberbullying
Don't make me fucking dig out the oppression pyramid again oop here it is dammit http://t.co/a1ukOk4E1W,notcyberbullying
"@CherguiaMbark A single brotherhood, from the same idiot that just said, ""We are Muslim, we are not Shia"".",notcyberbullying
"After a spur of the moment roast lamb for 7 its offical, i should apply for #mkr",notcyberbullying
"I really wish I could be watching college basketball right now. But sadly, I'm writing this long ass gov outline.. Sheesh..",notcyberbullying
"She also claimed that women being angry with Wadhwa was worse than the death threats we were getting because we're ""used to it"".",notcyberbullying
SASS WILL NOT KEEP YOU IN THE COMPETITION!  #MKR,notcyberbullying
"@_Watch_Observe_ @CamilleHughes16 @anthfieg1 Getting a job and integrating is the individuals problem, not the governments.",notcyberbullying
Great to see the local National Park workers tucking into a free feed.  How about you empty those loo's instead. #MKR,notcyberbullying
The Bully flushes on KD http://twitvid.com/A2TNP,notcyberbullying
"Palestra sobre Bullying para Educadores, Pais e alunos na SMED @adrianoventura @josianefanasci @galvaopadua  http://t.co/7rOhU7R",notcyberbullying
why is their whole menu dick related?!?!?! #MKR,notcyberbullying
"I swear to God 82,6% of the girls don't even understand the rules of football. They're just going to see @Louis_Tomlinson ☺♥.",notcyberbullying
@MsLizzieMarie me too lol,notcyberbullying
Twitter makes me laugh....Better than the series ;)))))) Very funny 👏👏👏👏👏  #MKR,notcyberbullying
East coast of India is the target area for surface currents. #uspatialsymp #I,notcyberbullying
@JaVoTTa  niña bullying!!!! te gusta poco! xD,notcyberbullying
"@ItsAlly_Dawson idk, I gotta go, I get off at 3:25.",notcyberbullying
RT @TRobinsonNewEra: UK Sikh manifesto lists action against perpetrators of grooming and forced conversions http://t.co/2KqVLuMPwG…,notcyberbullying
Be yourself and quit trying to be everyone else.,notcyberbullying
Christmas classics on ABC Family &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,notcyberbullying
Going to see @TheQuinnspiracy's movie I AM SO EXCITED,notcyberbullying
I just couldn't ever develop lasting romantic feelings for anyone that prefered D&amp;D 4th edition over 3.5.,notcyberbullying
god bless my mom for bringing home chinese food,notcyberbullying
Anyone else wants to punch Drasco in the head #mkr,notcyberbullying
RT @TaxEnuffAlready: Political Correctness is the fertilizer that helps Islam grow http://t.co/9ST4TpNicr #Auspol #Politas,notcyberbullying
@Allison_312 @okieatheist @furiechicago @steeevi My guess is that you have never read the Quran or Hadith and are just spouting the LW line.,notcyberbullying
Her leg was dry!! Bahahahahahahaha #mkr,notcyberbullying
